node_id,node_type,level,token_estimate,title,start_anchor,end_anchor
body,body,0,3954,正文,p_0041,p_0099
attachments/parent,attachment_parent,1,2633,第十三条  附件,p_0104,p_0158
attachments/att_002,attachment_section,,1479,附件2,p_0124,p_0140
body/sec_008,section,1,775,第八条 合同的补充、变更与解除,p_0082,p_0087
attachments/att_002/heading_004,heading,2,664,三、乙方的保密义务　　１、主动采取保密措施对上述所列及之保密信息进行保护，防止不承担同等保密义务的任何第三者知悉及使用；　　２、不得刺探或者以其他不正当手段（包括利用计算机进行检索、浏览、复制等）获取与本职工作或本身业务无关的甲方关于该项目的保密信息；　　３、不得向不承担同等保密义务的任何第三人披露甲方关于该项目的保密信息；　　４、不允许（包括出借、赠与、出租、转让等行为）或协助不承担同等保密义务的任何第三人使用甲方关于该项目的保密信息；　　5、项目的保密信息所有权始终全部归属甲方，乙方不得利用自身对项目不同程度的了解申请对于该项目的保密信息所有权，在本协议生效前乙方已依法具有的合法权益除外；　　6、如发现甲方关于该项目的保密信息被泄露或者自己过失泄露秘密，应当采取有效措施防止泄密进一步扩大，并及时向甲方报告。,p_0133,p_0135
frontmatter,frontmatter,0,621,合同首部,p_0001,p_0040
attachments/att_003,attachment_section,,579,附件3,p_0141,p_0158
body/sec_003,section,1,502,第三条  设备处置流程,p_0051,p_0057
body/sec_006,section,1,502,第六条 违约责任及处理,p_0070,p_0076
body/sec_004,section,1,432,第四条 保密条款,p_0058,p_0064
body/sec_003/l2_002,section,2,425,二、 甲乙双方项目负责人根据附件1《2026年淘汰待处置设备清单》共同清点货物，确认数量无误后，在设备移交单上签字确认，并自签字之日起将设备移交乙方进行后续处置。,p_0053,p_0057
body/sec_009,section,1,408,第九条 诚信廉洁合作承诺,p_0088,p_0092
body/sec_007,section,1,372,第七条 不可抗力,p_0077,p_0081
attachments/att_002/heading_003,heading,2,305,一、本协议所指项目,p_0129,p_0132
attachments/att_002/heading_006,heading,2,283,五、违约责任,p_0138,p_0140
body/sec_010,section,1,273,第十条 适用法律及合同争议解决,p_0093,p_0098
body/sec_002,section,1,269,第二条 合同金额及支付方式,p_0043,p_0050
body/sec_005,section,1,267,第五条 双方的权利及义务,p_0065,p_0069
attachments/att_001,attachment_section,,256,附件1,p_0121,p_0123
attachments/att_001/table_001,table,,237,[TABLE],tbl_0001,p_0123
body/sec_008/l2_005,section,2,236,五、合同解除后，尚未履行的部分甲乙双方不再履行。合同解除后，尚未履行的部分甲乙双方不再履行。对于已经完成的开发成果，按照本合同关于知识产权归属的约定处理。除因违约解除按照法律规定和本合同约定处理外，双方按照实际完成的工作量占全部工作量的比例结算费用，对于甲方已支付费用超过实际结算费用的，乙方应当在合同解除后45日内退还超过部分的费用；对于甲方已支付费用不足实际结算费用的，甲方应当在合同解除后45日内继续支付不足部分的费用。,p_0087,p_0087
body/sec_008/l2_003,section,2,199,三、在本合同履行过程中，因政策、环境变化或其它特殊原因需要变更或终止服务的，双方将另行签署补充协议，就合同变更或终止的相关事宜进行约定，同时，在过渡期间，乙方须配合做好包括信息、资料和设施在内的相关交接处置工作，并在过渡期间采取一切必要措施，减少甲方的损失。合同双方应根据触发变更或终止服务的具体原因对服务过渡期的起止时间，具体的过渡安排等事项进行协商。,p_0085,p_0085
body/sec_006/l2_004,section,2,185,四、乙方应在回收全部设备后两个月内提供《资产环保处置证明》，超期未提供的视为违约（不可抗力除外）。若因乙方未提供证明，导致招标单位在资产核销、财务审计、环保合规检查中遭受任何不利后果（包括但不限于审计意见瑕疵、监管问询、整改要求），乙方须赔偿招标单位由此产生的全部直接及间接损失，包括但不限于审计费用、律师费、咨询费、行政罚款等。,p_0074,p_0074
body/sec_008/l2_002,section,2,159,二、双方签订合同之前的本项目往来资料（招标文件或商务谈判文件、招标响应书或商务谈判响应文件、标书内容澄清函、招标过程中的承诺函、备忘录等）与本合同具有同等法律效力，内容与合同冲突时，合同的法律效力优先于项目往来资料；项目往来资料相互冲突时，法律效力以文件资料生效时间在后的为优先。,p_0084,p_0084
body/sec_009/l2_001,section,2,142,一、为保障甲、乙双方在采购业务往来中的合法权益，抵制商业贿赂和不正当竞争，反对商业欺诈，在信任、诚实、坦率与正直的基础上构筑相互间的合作关系，双方承诺自觉遵守有关法律法规、规章制度中关于公平交易、廉洁自律、反对腐败的相关规定。,p_0089,p_0089
tail,tail,0,139,合同末尾,p_0100,p_0103
body/sec_001,section,1,138,第一条 合同内容,p_0041,p_0042
body/sec_009/l2_002,section,2,132,二、乙方承诺，乙方及其人员不得以任何方式贿赂甲方人员；若甲方人员在日常业务过程中有索贿行为，乙方必须拒绝，并向甲方主管部门投诉。若乙方对甲方人员的索贿行为不拒绝、不申报，并满足其要求的，则该行为应视同乙方的贿赂行为。,p_0090,p_0090
attachments/att_003/heading_008,heading,2,127,"三、如贵方人员向我方索取好处或贿赂，我方将及时向贵方纪检监察部门或上级纪检监察机构投诉,投诉电话：0571-87260775；投诉邮箱：xfjb@zjrcu.com。",p_0152,p_0158
body/sec_002/l2_003,section,2,124,三、乙方将淘汰电子设备回收处置合同款汇入甲方账户，甲方确认收款后，通知乙方单位到甲方指定地点提取淘汰设备。甲方账户信息如下：,p_0046,p_0050
